,product_type,description
111,foundation,Kissed with the barest hint of pigment Blotting Powder takes down the shine without settling into fine lines polishing skin to satin matte perfection.
112,foundation,"Introduce us to someone who doesn’t love a good photo filter, and we’ll introduce you to our secret herd of pet unicorns. Our point? When it comes to getting our picture taken, we all love a good filter. That’s why we created #NoFilter Finishing Powder--our amazing new product that delivers a finish as flawless and soft as the most flattering filters on Instagram and beyond."
113,foundation,Even out your complexion using our ultra-fine translucent loose Color Correcting Powder. This lightweight easy to use powder can be applied before or after your foundation. The paraben and talc-free formula helps you achieve a natural matte finish.
114,foundation,"Your favorite beauty essential is now available in a convenient travel sized mini. A lightweight, translucent finishing powder that helps soften the appearance of fine lines and pores. This silky pressed powder has a fresh matte finish."
115,foundation,Unleash your inner theatrical makeup artist with these incredible pressed pigments. Creates a variety of special effects with the ultimate staying power.
116,foundation,Two ways to get your glow on. A luminous multicolored finishing powder to brighten and perfect and a warm shimmering shade for sunkissed radiance.
117,foundation,A mineral finishing powder that sets your favorite look with a flawless finish; skin appears fresh and radiant throughout the day. Just a hint of color provides enough coverage to be worn over makeup or on bare moisturized skin.
118,foundation,"A lightweight, translucent finishing powder that helps soften the appearance of fine lines and pores. This silky pressed powder has a fresh matte finish."
119,foundation,A miracle in a jar! This 100% pure mineral silica finishing powder is perfect for setting your foundation or wearing alone. The luminous white powder goes on neutral and works on all skin tones. It leaves your skin looking radiant and luminous. Use lightly...a little goes a long way.
120,bronzer,It takes two to tango with our brilliant bronzing powder to kickstart your look. Our mosaic bronzer shades create a golden glow on the face and body—like you’ve just returned from a Caribbean getaway. Sun-kissed never looked this beautiful.
121,bronzer,Brighten up your complexion! The radiant shimmer of this illuminator diffuses light so your skin looks vibrant and refreshed while adding a subtle glow. Available in 5 radiant colors.
122,bronzer,Perfect for Spring Summer and beyond – the Matte Bronzers have arrived! Achieve a natural and healthy looking complexion using any of the powder bronzers available in five russet shades. Perfect for that desired honey glow all year long!
123,blush,"Get swept away by our drop-dead gorgeous Sweet Cheeks Blush Palette. This collection features eight highly pigmented and buttery-smooth colors that flawlessly suit any skin tone. Perfect for everyone from the pro on the go to the budding beauty guru, our irreplaceable set brings together a variety of exclusive shades in both matte and shimmery finishes. It’s true--we’ve got a serious blush crush!"
124,blush,"Create natural-looking contours, sun-kissed cheeks and a gorgeous, lit-from-within glow with our new Cheek Contour Duos. Available in six silky shade combinations, each luxurious compact makes it easy to perfect your complexion on the go."
126,bronzer,"Brighten things up with one of our new Bright Idea Illuminating Sticks! Available in a range of radiating hues--including four highlighters, four blushes and four bronzers--each creamy-soft shade goes on smoothly and sets right away for an instant, lit-from-within glow. Petite, portable and perfect for strobing, it’s the makeup must-have of the season."
127,blush,More delicious than peaches and cream? We like to think so. Our velvety smooth mineral Rouge Cream Blush offers a sheer wash of radiant color. The glorious payoff is dewy sultry and long-lasting.
128,bronzer,This medley of 9 matte and shimmery colors creates a flush of color and dazzling glow for every skin tone. Use to highlight enhance brighten and bronze. Each mosaic of color blends beautifully with magical results.
129,blush,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.
130,bronzer,Get the perfect sun-kissed glow with complementing color combinations from our Bronzer/Blusher Combo. Each blush and bronzer pairing features flattering and natural-looking hues. With 5 shades to choose from it is easier than ever to achieve an impeccable Springtime and Summertime glow.
131,blush,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.
132,blush,"Treat your cheeks to a radiant flush of color with our Ombré Blush, a new gradient blush inspired by the ombré trend. This must-have formula features two silky colors blended into one perfectly coordinated shade combo. (It’s like they were meant for each other.)"
133,blush,Add a touch of color with our creamy and extremely pigmented Stick Blush! Available in eight rich shades! Apply and receive the perfect glow every day!
134,bronzer,Our pressed powder blush delivers sheer silky color that glides on easily blends beautifully and creates a natural glow. The formula is richly-pigmented and lasts for hours.
135,foundation,"Skin imperfections, beware! When it comes to covering up discoloration, our new Gotcha Covered Concealer Pencil does NOT mess around. Available in 20 blendable shades, this luxurious concealer is a master at spot concealing."
136,foundation,"Color-match your skin using our perfecting and correcting palettes to conceal, correct, or contour. With six shades to choose from in each set you can cover up problem spots even out imperfections and accentuate your best features in a flash. Use these buildable colors on their own or combine them to create the ideal tone."
137,eyeliner,Wonder Pencil…the essential pencil that fulfills all of your beauty desires. Conquer 3 critical make-up tasks with one product: CONCEAL flaws and blemishes with creamy precision; LINE your lips against lipstick bleeding and fading; and BRIGHTEN your eyes along the water line. Will wonders never cease? Not with the Wonder Pencil in your bag!
138,foundation,A serious solution for one of beauty’s most challenging problems! No fancy names just a product that can be counted on to do the job. The product glides on without looking thick or obvious. The subtle hint of orange counteracts the appearance of dark circles while natural skin-toned pigments work in unison to provide the ultimate coverage.
139,foundation,"Gotcha Covered Concealer always has your back! Now available in 10 more gorgeous shades, our waterproof, full coverage concealer effectively covers up discolorations and imperfections without creasing or caking. Infused with coconut oil, this highly blendable concealer also leaves your face with a healthy-looking glow."
